configuration,status,n_present,n_absent,n_targets,basis,mean,median,sd,q1,q3,best,worst,basis_secondary,mean_secondary,median_secondary,basis_delta_mean,pool_gate,pool_best_mean,pool_margin,n_pool_violations,difficulty_gate,corr_with_pool_best,sd_per_target,frac_under_2,frac_under_3,paired_n,paired_effect,paired_median_effect,se,mde,effect_over_mde,ci95_iid_lo,ci95_iid_hi,ci95_fold_lo,ci95_fold_hi,folds_same_sign,n_folds,wins,losses,ties,worst_degradation,type_m,type_m_flag,verdict,is_synthetic
production,complete,126,0,126,built_chain_bb,3.2126212503925293,2.9660929410501544,1.7324205939979092,1.87082972982865,4.252607150970702,0.18242222359245708,8.234196837079457,point_cloud_ca,3.048329101217154,2.8373111326721485,0.1642921491753754,WARN,1.7108244199364904,1.501796830456039,2,PASS,0.7149523378874968,1.7324205939979092,0.2857142857142857,0.5079365079365079,,,,,,,,,,,,,,,,,,,BASELINE,false
distogram,complete,126,0,126,built_chain_bb,3.218708055115966,2.9801132580434464,1.739628624477068,1.8604066851182868,4.222424209608053,0.17655597049687843,8.261734619106626,point_cloud_ca,3.0580168439307194,2.8461000387183173,0.16069121118524599,WARN,1.7108244199364904,1.5078836351794755,2,PASS,0.7123805690030383,1.739628624477068,0.30158730158730157,0.5079365079365079,126,0.006086804723436133,0.00015126129125608845,0.011638700851708253,0.03260698430614584,0.18667180829381017,-0.01576737339756639,0.02884158140708247,-0.021175694086312726,0.03040571412487047,3,5,61,65,0,0.6800990449439341,4.585962533246175,false,"NOT MEASURED (|effect| 0.0061 <= its own MDE 0.0326, 0.19x)",false
amber_distogram,complete,126,0,126,built_chain_bb,3.309961759812365,3.152871042885791,1.7496057265989777,1.899931054770942,4.440950816826164,0.181783549777848,7.60710349464321,point_cloud_ca,3.1316921198294936,2.948027299364487,0.17826963998287257,WARN,1.7108244199364904,1.5991373398758746,1,PASS,0.727161100912826,1.7496057265989777,0.2698412698412698,0.46825396825396826,126,0.09734050941983642,0.020888421110351274,0.04554319105829068,0.1275938040689072,0.7628937010708416,0.00982383937719017,0.1862984196828217,0.024871359465060618,0.15128382910688615,4,5,55,71,0,1.8637718679624533,1.3221253551928138,true,"NOT MEASURED (|effect| 0.0973 <= its own MDE 0.1276, 0.76x)",false
legacy_distogram,complete,126,0,126,built_chain_bb,3.3731520305329474,3.159008054501431,1.7790005387451377,1.9149059450303823,4.572428482361816,0.19728316506139626,7.7952268385891665,point_cloud_ca,3.2150989596380146,2.972884762581339,0.1580530708949336,WARN,1.7108244199364904,1.662327610596457,2,PASS,0.7125059566151075,1.7790005387451377,0.2857142857142857,0.4365079365079365,126,0.1605307801404187,0.03653539457166932,0.07136542865399931,0.19993738491704446,0.8029052706027145,0.020475548142109494,0.2993541150840499,0.04787970810292542,0.2440707111610003,4,5,49,77,0,2.40489080364135,1.277044763648274,true,"NOT MEASURED (|effect| 0.1605 <= its own MDE 0.1999, 0.80x)",false
legacy_amber_distogram,complete,126,0,126,built_chain_bb,3.4220825100678876,3.372784546533784,1.815260951689445,1.7919484962008945,4.736377746366674,0.19259909413609091,7.6619055163871606,point_cloud_ca,3.253030982555741,3.1343464965251107,0.1690515275121462,PASS,1.7108244199364904,1.7112580901313972,0,PASS,0.7095424776995348,1.815260951689445,0.29365079365079366,0.42063492063492064,126,0.2094612596753576,0.041266527046878054,0.07724135602285681,0.21639938303363565,0.9679383403916653,0.05342419663963282,0.36137014602981454,0.06580015488065191,0.34215586792084896,4,5,46,80,0,2.78850404822327,1.1432923556559373,true,"NOT MEASURED (|effect| 0.2095 <= its own MDE 0.2164, 0.97x)",false
legacy_amber,complete,126,0,126,built_chain_bb,3.8248241126995124,3.850233599996008,2.0548555261233994,1.8167416050584144,5.120288252439255,0.24875979784235563,8.858400393941137,point_cloud_ca,3.6742099693114274,3.5787806638404005,0.15061414338808468,PASS,1.7108244199364904,2.113999692763022,0,PASS,0.6451037740372887,2.0548555261233994,0.2698412698412698,0.373015873015873,126,0.6122028623069835,0.196266683749599,0.12432143332723039,0.34829892760956865,1.7576937905282393,0.3770401942440609,0.8561266474881638,0.39836690214791826,0.7898058946970236,5,5,37,89,0,5.157609652385165,1.0010023369307148,false,WORSE,false
legacy,complete,126,0,126,built_chain_bb,3.8843706034949403,4.060043334476348,2.056002925993719,1.8303183924253084,5.318200053742573,0.3293897494093718,8.490287331908489,point_cloud_ca,3.7553479973755235,3.9207275123490706,0.12902260611941602,PASS,1.7108244199364904,2.17354618355845,0,PASS,0.6430882044009116,2.056002925993719,0.2777777777777778,0.36507936507936506,126,0.6717493531024104,0.3311577830375263,0.12505578319895524,0.35035628221019305,1.9173321193635697,0.4342828696683962,0.9157354833802787,0.4701597442156697,0.8282823096430796,5,5,40,86,0,5.8723620067820015,1.0002205550633785,false,WORSE,false
amber,complete,126,0,126,built_chain_bb,4.101517931701575,3.925368822026188,1.7774560668772328,2.9305076902382425,5.080698957841133,0.7221459965454132,9.231556879858454,point_cloud_ca,3.8805028264654857,3.5790435133979086,0.22101510523609058,PASS,1.7108244199364904,2.3906935117650843,0,PASS,0.5967265805727127,1.7774560668772328,0.1349206349206349,0.2777777777777778,126,0.8888966813090466,0.7651980876145514,0.11327081079597696,0.3173395035260091,2.8010905400442616,0.6774319243269739,1.1122515279180025,0.7386104724842991,1.02783408353996,5,5,27,99,0,4.980493680462928,1.0000000015104082,false,WORSE,false
